NO. 25 FRESNO PACIFIC,3,0
NO. 11 AZUSA PACIFIC,1,2
BIOLA,0,2
CONCORDIA IRVINE,2,5
HAWAI'I HILO,2,1
POINT LOMA,0,1
CAL STATE MONTEREY BAY,3,3
CAL STATE EAST BAY,1,0
CAL POLY POMONA,1,1
HUMBOLDT STATE,0,3
STANISLAUS STATE,3,1
CHICO STATE,1,2
UC SAN DIEGO,0,2
CAL STATE DOMINGUEZ,3,2
